p,b,T,T1,alpha,target_coverage,repetitions,empirical_coverage,mean_scaled_set_size,fallback_rate,mean_permutation_count,max_permutation_count,runtime_seconds
0.1,0.5,50,1,0.2,0.8,100,0.63,0.345,0.0,146.62,342,2.7809605000074953
0.3,0.5,50,1,0.2,0.8,100,0.89,0.72,0.0,150.09,306,2.7695670999819413
0.5,0.5,50,1,0.2,0.8,100,0.83,0.86,0.0,151.31,462,2.7868192999158055
0.7,0.5,50,1,0.2,0.8,100,0.88,0.725,0.0,150.39,506,2.8137175000738353
0.9,0.5,50,1,0.2,0.8,100,0.87,0.545,0.005,171.53768844221105,756,3.166839300072752
0.1,0.75,50,1,0.2,0.8,100,0.7,0.395,0.005,179.85929648241205,506,3.3014094000682235
0.3,0.75,50,1,0.2,0.8,100,0.84,0.605,0.005,187.70854271356785,600,3.451999199925922
0.5,0.75,50,1,0.2,0.8,100,0.8,0.64,0.0,201.66,756,3.7103835999732837
0.7,0.75,50,1,0.2,0.8,100,0.91,0.685,0.005,203.20603015075378,1122,3.7214976999675855
0.9,0.75,50,1,0.2,0.8,100,0.78,0.525,0.06,238.39361702127658,1482,4.092537599964999
0.1,0.9,50,1,0.2,0.8,100,0.72,0.5,0.135,286.84393063583815,702,4.479479999979958
0.3,0.9,50,1,0.2,0.8,100,0.89,0.605,0.11,280.0,756,4.472826100070961
0.5,0.9,50,1,0.2,0.8,100,0.85,0.615,0.135,285.28323699421964,992,4.4909873000578955
0.7,0.9,50,1,0.2,0.8,100,0.93,0.66,0.135,321.3872832369942,1332,5.020097200060263
0.9,0.9,50,1,0.2,0.8,100,0.97,0.65,0.155,377.42011834319527,1980,5.77447669999674
0.1,0.5,100,1,0.2,0.8,100,0.61,0.34,0.0,621.63,1056,11.194604300078936
0.3,0.5,100,1,0.2,0.8,100,0.75,0.645,0.0,600.83,1190,10.918183699948713
0.5,0.5,100,1,0.2,0.8,100,0.82,0.815,0.0,621.77,1332,11.213408500072546
0.7,0.5,100,1,0.2,0.8,100,0.93,0.79,0.0,631.27,1722,11.321947199990973
0.9,0.5,100,1,0.2,0.8,100,0.88,0.505,0.0,663.69,2550,11.791158500011079
0.1,0.75,100,1,0.2,0.8,100,0.78,0.425,0.0,764.49,2070,13.532195800100453
0.3,0.75,100,1,0.2,0.8,100,0.79,0.56,0.0,775.2,2256,13.948842099984176
0.5,0.75,100,1,0.2,0.8,100,0.83,0.67,0.0,790.36,2756,14.281496500014327
0.7,0.75,100,1,0.2,0.8,100,0.88,0.665,0.0,785.71,3422,14.085831700009294
0.9,0.75,100,1,0.2,0.8,100,0.87,0.5,0.0,830.33,3782,14.8167056000093
0.1,0.9,100,1,0.2,0.8,100,0.8,0.425,0.02,1002.1224489795918,2550,17.62161360005848
0.3,0.9,100,1,0.2,0.8,100,0.83,0.51,0.02,1036.5,2970,18.030457600019872
0.5,0.9,100,1,0.2,0.8,100,0.9,0.565,0.015,1015.5025380710659,3192,17.535407799994573
0.7,0.9,100,1,0.2,0.8,100,0.89,0.545,0.01,951.9191919191919,3906,16.89107629994396
0.9,0.9,100,1,0.2,0.8,100,0.84,0.5,0.03,1230.041237113402,5852,21.434495700057596
0.1,0.5,200,1,0.2,0.8,100,0.61,0.36,0.0,2558.05,4290,45.74012460000813
0.3,0.5,200,1,0.2,0.8,100,0.78,0.73,0.0,2458.53,4032,43.56062300002668
0.5,0.5,200,1,0.2,0.8,100,0.84,0.87,0.0,2444.38,4290,43.677988399984315
0.7,0.5,200,1,0.2,0.8,100,0.89,0.765,0.0,2573.89,5256,45.963362899958156
0.9,0.5,200,1,0.2,0.8,100,0.92,0.5,0.0,2578.69,6972,45.608339600032195
0.1,0.75,200,1,0.2,0.8,100,0.81,0.43,0.0,3058.49,6642,54.52081500005443
0.3,0.75,200,1,0.2,0.8,100,0.8,0.575,0.0,3130.36,7832,55.44312880001962
0.5,0.75,200,1,0.2,0.8,100,0.75,0.63,0.0,3120.75,8190,56.11148640001193
0.7,0.75,200,1,0.2,0.8,100,0.86,0.65,0.0,3146.42,8930,55.80951599997934
0.9,0.75,200,1,0.2,0.8,100,0.86,0.475,0.0,3337.37,16002,59.36041439999826
0.1,0.9,200,1,0.2,0.8,100,0.77,0.4,0.0,4014.88,9312,70.84982660005335
0.3,0.9,200,1,0.2,0.8,100,0.82,0.465,0.0,4053.06,10712,71.87042499997187
0.5,0.9,200,1,0.2,0.8,100,0.96,0.515,0.0,4066.23,12432,71.9382071000291
0.7,0.9,200,1,0.2,0.8,100,0.88,0.53,0.0,4182.09,14042,74.25924819998909
0.9,0.9,200,1,0.2,0.8,100,0.9,0.475,0.005,4524.090452261306,17556,79.36969759990461
