candidate,M,q_exact,permutation_count,mc_repetitions,mean_q_hat,bias,mae,rmse,empirical_sd,theoretical_sd
"(0,)",10,0.1875,240,200,0.1975,0.010000000000000004,0.09637500000000002,0.12142384444580892,0.12131503073987611,0.12342761036332187
"(0,)",25,0.1875,240,200,0.18860000000000002,0.0011000000000000046,0.0627,0.07657186167254913,0.07675609088168305,0.07806247497997998
"(0,)",50,0.1875,240,200,0.19399999999999998,0.006500000000000002,0.044950000000000004,0.05522906843320825,0.05498286622111881,0.05519850541454904
"(0,)",100,0.1875,240,200,0.19140000000000001,0.0039000000000000024,0.031974999999999996,0.04061095911204265,0.040524699336101276,0.03903123748998999
"(0,)",250,0.1875,240,200,0.18502000000000002,-0.0024800000000000013,0.021315,0.026546374517059764,0.02649660260766923,0.024685522072664372
"(0,)",500,0.1875,240,200,0.19042,0.00292,0.01589,0.0197866116351436,0.019619075939083307,0.017455300054711177
"(0,)",1000,0.1875,240,200,0.186635,-0.0008649999999999992,0.009865000000000002,0.012284950142348972,0.012285210907232155,0.012342761036332186
"(1,)",10,0.37298387096774194,992,200,0.391,0.018016129032258067,0.12313306451612903,0.14981181830986157,0.14909778923166112,0.15292707509321585
"(1,)",25,0.37298387096774194,992,200,0.38040000000000007,0.007416129032258072,0.08378225806451614,0.10019400665620226,0.10016990591116305,0.09671957464043372
"(1,)",50,0.37298387096774194,992,200,0.3705,-0.0024838709677419317,0.05744032258064516,0.07061104456800218,0.07074442641895355,0.06839106710172912
"(1,)",100,0.37298387096774194,992,200,0.3741,0.0011161290322580628,0.03892983870967742,0.04862546394654399,0.04873464195655043,0.04835978732021686
"(1,)",250,0.37298387096774194,992,200,0.37123999999999996,-0.0017438709677419376,0.02198887096774194,0.02734782415389081,0.02736065472783279,0.030585415018643168
"(1,)",500,0.37298387096774194,992,200,0.3739,0.0009161290322580631,0.01625080645161291,0.021063458699932123,0.021096333244948272,0.02162715436508746
"(1,)",1000,0.37298387096774194,992,200,0.37323,0.0002461290322580617,0.012421290322580653,0.015492181237660519,0.015529097344070207,0.015292707509321584
