candidate,M,q_exact,alpha,margin,exact_included,permutation_count,mc_repetitions,mean_q_hat,decision_disagreement_rate,hoeffding_decision_bound
"(0,)",10,0.1875,0.2,0.012500000000000011,False,240,200,0.1875,0.26,0.9968798777302081
"(1,)",10,0.37298387096774194,0.2,0.17298387096774193,True,992,200,0.365,0.195,0.549652844257896
"(0,)",25,0.1875,0.2,0.012500000000000011,False,240,200,0.1834,0.31,0.9922179382602435
"(1,)",25,0.37298387096774194,0.2,0.17298387096774193,True,992,200,0.3736,0.05,0.22398616761574894
"(0,)",50,0.1875,0.2,0.012500000000000011,False,240,200,0.18950000000000003,0.355,0.9844964370054083
"(1,)",50,0.37298387096774194,0.2,0.17298387096774193,True,992,200,0.37189999999999995,0.01,0.05016980328319038
"(0,)",100,0.1875,0.2,0.012500000000000011,False,240,200,0.18909999999999996,0.32,0.969233234476344
"(1,)",100,0.37298387096774194,0.2,0.17298387096774193,True,992,200,0.37715000000000004,0.0,0.00251700916147402
"(0,)",250,0.1875,0.2,0.012500000000000011,False,240,200,0.18644000000000002,0.225,0.9248488132162047
"(1,)",250,0.37298387096774194,0.2,0.17298387096774193,True,992,200,0.37333999999999995,0.0,3.1784251665051523e-07
"(0,)",500,0.1875,0.2,0.012500000000000011,False,240,200,0.18774999999999997,0.19,0.8553453273074223
"(1,)",500,0.37298387096774194,0.2,0.17298387096774193,True,992,200,0.37427999999999995,0.0,1.0102386539073306e-13
"(0,)",1000,0.1875,0.2,0.012500000000000011,False,240,200,0.188445,0.185,0.7316156289466413
"(1,)",1000,0.37298387096774194,0.2,0.17298387096774193,True,992,200,0.3718600000000001,0.0,1.0205821378484953e-26
"(0,)",2500,0.1875,0.2,0.012500000000000011,False,240,200,0.187438,0.055,0.45783336177161366
"(1,)",2500,0.37298387096774194,0.2,0.17298387096774193,True,992,200,0.37342,0.0,1.0522523581185376e-65
"(0,)",5000,0.1875,0.2,0.012500000000000011,False,240,200,0.187314,0.005,0.20961138715109726
"(1,)",5000,0.37298387096774194,0.2,0.17298387096774193,True,992,200,0.372262,0.0,1.1072350251660233e-130
"(0,)",10000,0.1875,0.2,0.012500000000000011,False,240,200,0.18707149999999997,0.0,0.043936933623407184
"(1,)",10000,0.37298387096774194,0.2,0.17298387096774193,True,992,200,0.37250150000000004,0.0,1.2259694009544043e-260
