configuration,p,b,T,T1,alpha,delta,M,epsilon,corrected_threshold,repetitions,target_coverage,corrected_coverage_benchmark,exact_coverage,exact_coverage_se,raw_mc_coverage,raw_mc_coverage_se,corrected_mc_coverage,corrected_mc_coverage_se,raw_minus_exact_coverage,corrected_minus_exact_coverage,exact_mean_scaled_set_size,raw_mean_scaled_set_size,corrected_mean_scaled_set_size,exact_candidate_fallback_rate,exact_true_candidate_fallback_rate,mc_candidate_fallback_rate,mc_true_candidate_fallback_rate,exact_undefined_hmm_count,exact_insufficient_blocks_count,mc_undefined_hmm_count,mc_insufficient_blocks_count
iid_uninformative,0.5,0.5,100,1,0.2,0.05,25,0.2716203031481239,-0.0716203031481239,300,0.8,0.75,0.87,0.0194164878389476,0.8533333333333334,0.020425111632135208,1.0,0.0,-0.016666666666666607,0.13,0.835,0.82,1.0,0.0,0.0,0.0,0.0,0,0,0,0
iid_uninformative,0.5,0.5,100,1,0.2,0.05,50,0.19206455826398416,0.007935441736015847,300,0.8,0.75,0.87,0.0194164878389476,0.8633333333333333,0.01983169927909095,0.9966666666666667,0.0033277731404159692,-0.00666666666666671,0.1266666666666667,0.835,0.835,0.9916666666666667,0.0,0.0,0.0,0.0,0,0,0,0
iid_uninformative,0.5,0.5,100,1,0.2,0.05,100,0.13581015157406195,0.06418984842593806,300,0.8,0.75,0.87,0.0194164878389476,0.8633333333333333,0.01983169927909095,0.99,0.005744562646538031,-0.00666666666666671,0.12,0.835,0.8283333333333334,0.9766666666666667,0.0,0.0,0.0,0.0,0,0,0,0
iid_uninformative,0.5,0.5,100,1,0.2,0.05,250,0.08589388166934751,0.1141061183306525,300,0.8,0.75,0.87,0.0194164878389476,0.8666666666666667,0.019626135258506323,0.9466666666666667,0.012972906239401267,-0.0033333333333332993,0.07666666666666666,0.835,0.84,0.935,0.0,0.0,0.0,0.0,0,0,0,0
iid_uninformative,0.5,0.5,100,1,0.2,0.05,500,0.060736146190830516,0.1392638538091695,300,0.8,0.75,0.87,0.0194164878389476,0.87,0.0194164878389476,0.9266666666666666,0.015050532167286265,0.0,0.05666666666666664,0.835,0.84,0.9,0.0,0.0,0.0,0.0,0,0,0,0
iid_uninformative,0.5,0.5,100,1,0.2,0.05,1000,0.04294694083467376,0.15705305916532625,300,0.8,0.75,0.87,0.0194164878389476,0.8633333333333333,0.01983169927909095,0.9,0.01732050807568877,-0.00666666666666671,0.030000000000000027,0.835,0.8333333333333334,0.875,0.0,0.0,0.0,0.0,0,0,0,0
moderate,0.7,0.75,100,1,0.2,0.05,25,0.2716203031481239,-0.0716203031481239,300,0.8,0.75,0.82,0.02218107301281884,0.79,0.023515952032609692,1.0,0.0,-0.029999999999999916,0.18000000000000005,0.6133333333333333,0.6,1.0,0.0,0.0,0.0,0.0,0,0,0,0
moderate,0.7,0.75,100,1,0.2,0.05,50,0.19206455826398416,0.007935441736015847,300,0.8,0.75,0.82,0.02218107301281884,0.7933333333333333,0.023377735530168836,0.9633333333333334,0.010850840554571826,-0.026666666666666616,0.14333333333333342,0.6133333333333333,0.6016666666666667,0.9233333333333333,0.0,0.0,0.0,0.0,0,0,0,0
moderate,0.7,0.75,100,1,0.2,0.05,100,0.13581015157406195,0.06418984842593806,300,0.8,0.75,0.82,0.02218107301281884,0.8333333333333334,0.021516574145596757,0.92,0.01566312016596097,0.01333333333333342,0.10000000000000009,0.6133333333333333,0.6233333333333333,0.8133333333333334,0.0,0.0,0.0,0.0,0,0,0,0
moderate,0.7,0.75,100,1,0.2,0.05,250,0.08589388166934751,0.1141061183306525,300,0.8,0.75,0.82,0.02218107301281884,0.82,0.02218107301281884,0.8766666666666667,0.018984399053101664,0.0,0.056666666666666754,0.6133333333333333,0.6216666666666667,0.7183333333333334,0.0,0.0,0.0,0.0,0,0,0,0
