experiment_id,user_id,n_raw_samples,n_valid_one_second_windows,stationary_window_fraction,moving_window_fraction,selected_stationary_points,selected_moving_points
57,28,18836,254,0.5551181102362205,0.4448818897637795,0,0
32,16,21072,267,0.5168539325842697,0.48314606741573035,1,1
34,17,21303,293,0.5426621160409556,0.45733788395904434,0,0
22,11,16437,237,0.47257383966244726,0.5274261603375527,0,0
4,2,16565,226,0.4469026548672566,0.5530973451327433,0,0
12,6,32089,245,0.47346938775510206,0.5265306122448979,0,0
60,30,23538,304,0.48026315789473684,0.5197368421052632,0,1
13,7,17195,242,0.4628099173553719,0.5371900826446281,0,0
48,24,20722,296,0.49324324324324326,0.5067567567567568,1,2
25,12,16160,252,0.5277777777777778,0.4722222222222222,0,1
39,19,17837,265,0.5773584905660377,0.4226415094339623,1,1
7,4,17668,257,0.4474708171206226,0.5525291828793775,0,0
41,20,17963,276,0.5289855072463768,0.47101449275362317,0,0
24,12,16632,248,0.4717741935483871,0.5282258064516129,0,0
17,9,16244,232,0.47413793103448276,0.5258620689655172,0,0
61,30,19082,284,0.4753521126760563,0.5246478873239436,0,1
8,4,15888,238,0.4579831932773109,0.542016806722689,0,0
15,8,15550,214,0.48598130841121495,0.514018691588785,0,0
14,7,16028,225,0.4666666666666667,0.5333333333333333,0,0
53,26,20316,291,0.5360824742268041,0.4639175257731959,1,1
38,19,19099,286,0.5769230769230769,0.4230769230769231,2,2
6,3,17493,257,0.4785992217898833,0.5214007782101168,0,0
10,5,15038,231,0.4588744588744589,0.5411255411255411,0,0
29,14,16559,248,0.4838709677419355,0.5161290322580645,0,0
5,3,20994,269,0.4684014869888476,0.5315985130111525,0,0
44,22,17932,253,0.5612648221343873,0.43873517786561267,0,2
31,15,17178,259,0.5328185328185329,0.4671814671814672,0,1
51,25,20352,309,0.4886731391585761,0.511326860841424,3,1
54,27,18253,278,0.5503597122302158,0.44964028776978415,0,1
28,14,17463,255,0.43529411764705883,0.5647058823529412,0,0
33,16,21139,282,0.5673758865248227,0.4326241134751773,2,2
2,1,19286,269,0.3828996282527881,0.6171003717472119,0,0
30,15,17179,252,0.5079365079365079,0.49206349206349204,0,0
19,10,15739,226,0.4911504424778761,0.5088495575221239,0,0
9,5,16864,252,0.4444444444444444,0.5555555555555556,0,0
43,21,19484,299,0.5953177257525084,0.40468227424749165,1,3
47,23,17986,282,0.5141843971631206,0.4858156028368794,0,1
45,22,17552,242,0.5702479338842975,0.4297520661157025,0,1
27,13,17184,244,0.48770491803278687,0.5122950819672131,0,0
52,26,20678,298,0.5436241610738255,0.4563758389261745,0,3
35,17,19535,281,0.5160142348754448,0.48398576512455516,1,0
3,2,18026,255,0.4549019607843137,0.5450980392156862,0,0
58,29,18651,267,0.5205992509363296,0.4794007490636704,0,0
50,25,21230,311,0.4758842443729904,0.5241157556270096,0,0
11,6,16522,253,0.4782608695652174,0.5217391304347826,0,0
16,8,16356,229,0.519650655021834,0.48034934497816595,0,0
36,18,22399,301,0.5116279069767442,0.4883720930232558,1,0
42,21,20806,319,0.5893416927899686,0.4106583072100313,1,0
26,13,17801,262,0.4618320610687023,0.5381679389312977,0,0
23,11,16530,251,0.4701195219123506,0.5298804780876494,0,0
56,28,20556,304,0.5822368421052632,0.41776315789473684,0,0
55,27,18915,291,0.5567010309278351,0.44329896907216493,0,0
59,29,17908,257,0.5214007782101168,0.4785992217898833,1,0
46,23,20065,279,0.5232974910394266,0.4767025089605735,0,0
1,1,20598,271,0.4132841328413284,0.5867158671586716,0,0
18,9,15621,230,0.4826086956521739,0.5173913043478261,0,0
40,20,19693,281,0.5231316725978647,0.47686832740213525,0,0
49,24,19426,289,0.5190311418685121,0.4809688581314879,0,0
37,18,20058,276,0.5,0.5,0,0
